TG.ID	TG_ensembl	tg_taxid	tg_ensembl_db	tg_ensembl_db_mi
170574	ENSMUSG00000060284	10090	ensembl	MI:0476
596	ENSG00000171791	9606	ensembl	MI:0476
3169	ENSG00000129514	9606	ensembl	MI:0476
3687	ENSG00000140678	9606	ensembl	MI:0476
20305	ENSMUSG00000018927	10090	ensembl	MI:0476
56287	ENSG00000169605	9606	ensembl	MI:0476
7481	ENSG00000085741	9606	ensembl	MI:0476
89780	ENSG00000154342	9606	ensembl	MI:0476
7472	ENSG00000105989	9606	ensembl	MI:0476
7471	ENSG00000125084	9606	ensembl	MI:0476
1030	ENSG00000147883	9606	ensembl	MI:0476
1029	ENSG00000147889	9606	ensembl	MI:0476
890	ENSG00000145386	9606	ensembl	MI:0476
11040	ENSG00000102096	9606	ensembl	MI:0476
3690	ENSG00000259207	9606	ensembl	MI:0476
20133	ENSMUSG00000030978	10090	ensembl	MI:0476
1003	ENSG00000179776	9606	ensembl	MI:0476
3099	ENSG00000159399	9606	ensembl	MI:0476
4763	ENSG00000196712	9606	ensembl	MI:0476
4319	ENSG00000166670	9606	ensembl	MI:0476
3039	ENSG00000206172	9606	ensembl	MI:0476
3047	ENSG00000213934	9606	ensembl	MI:0476
5292	ENSG00000137193	9606	ensembl	MI:0476
7122	ENSG00000184113	9606	ensembl	MI:0476
3688	ENSG00000150093	9606	ensembl	MI:0476
134	ENSG00000163485	9606	ensembl	MI:0476
89797	ENSG00000166833	9606	ensembl	MI:0476
23468	ENSG00000094916	9606	ensembl	MI:0476
595	ENSG00000110092	9606	ensembl	MI:0476
18823	ENSMUSG00000031425	10090	ensembl	MI:0476
21454	ENSMUSG00000068039	10090	ensembl	MI:0476
2488	ENSG00000131808	9606	ensembl	MI:0476
16183	ENSMUSG00000027720	10090	ensembl	MI:0476
7157	ENSG00000141510	9606	ensembl	MI:0476
10002	ENSG00000278570	9606	ensembl	MI:0476
226	ENSG00000149925	9606	ensembl	MI:0476
3064	ENSG00000197386	9606	ensembl	MI:0476
14432	ENSMUSG00000047261	10090	ensembl	MI:0476
3913	ENSG00000172037	9606	ensembl	MI:0476
22390	ENSMUSG00000031016	10090	ensembl	MI:0476
4609	ENSG00000136997	9606	ensembl	MI:0476
4884	ENSG00000171246	9606	ensembl	MI:0476
10659	ENSG00000048740	9606	ensembl	MI:0476
2252	ENSG00000140285	9606	ensembl	MI:0476
624	ENSG00000168398	9606	ensembl	MI:0476
27122	ENSG00000050165	9606	ensembl	MI:0476
1299	ENSG00000092758	9606	ensembl	MI:0476
84457	ENSG00000165443	9606	ensembl	MI:0476
5731	ENSG00000160951	9606	ensembl	MI:0476
671	ENSG00000101425	9606	ensembl	MI:0476
1861	ENSG00000136827	9606	ensembl	MI:0476
3235	ENSG00000128709	9606	ensembl	MI:0476
