AC	SHORTLABEL	TAXID
EBI-1037711	psepv	47881
EBI-1037898	theaq	271
EBI-9021233	african malaria mosquito	7165
EBI-1038658	psest	316
EBI-9021427	mettm	79929
EBI-1039310	psefr	296
EBI-1039640	strco	100226
EBI-1040087	rhosr	101510
EBI-9021458	methanopyrus kandleri	2320
EBI-1040883	mouse-cb3	10090
EBI-1040896	mouse-cb7	10090
EBI-1040898	mouse-dp28-9	10090
EBI-9021535	torma	7788
EBI-1042082	cbdp	29342
EBI-1042203	comsp	58226
EBI-1102017	rhime	382
EBI-1103028	human-hacat	9606
EBI-1103396	rat-c6	10116
EBI-9021600	parpn	82367
EBI-1103523	mouse-lung	10090
EBI-1104366	human-c9	9606
EBI-1107993	human-calu_3	9606
EBI-1108571	bovin-liver	9913
EBI-1108937	thet2	262724
EBI-1109163	rat-rat-2	10116
EBI-1110095	myxxa	34
EBI-1113330	entae	548
EBI-9021689	clostridium cellulolyticum	1521
EBI-9021805	thauera aromatica	59405
EBI-1126163	human-peer	9606
EBI-1151217	drome-wing disc	7227
EBI-1151835	human-mda_mb_468	9606
EBI-9022867	pseudomonas sp. ox1	320855
EBI-1152390	sacer	1836
EBI-9022931	unidentified influenza virus	11309
EBI-1161012	rat-mca_rh7777	10116
EBI-1161535	crigr-cho_k1	10029
EBI-1162485	humt-	11908
EBI-1162808	rat-bp8	10116
EBI-1163368	hpv55	37114
EBI-1163959	human-calu_6	9606
EBI-1166806	human-hmvec_f	9606
EBI-1167142	human-jeg3	9606
EBI-9022949	strain a/swine/iowa/15/1930 h1n1	380342
EBI-1168220	human-t1	9606
EBI-1168997	trini-high_5	7111
EBI-1169248	chick-embryo	9031
EBI-9023058	haedc	730
EBI-1170320	human-t84	9606
EBI-1170694	xentr	8364
EBI-1171012	human-oci_aml3	9606
EBI-1172307	danre	7955
EBI-1177231	hpv11	10580
EBI-9023085	bordetella pertussis	520
EBI-1179572	pbcv1	10506
EBI-9023143	stema	40324
EBI-3267100	human-sk-mes-1	9606
EBI-1181156	human-c4_2	9606
EBI-1182044	mouse-lymphoblast	10090
EBI-1182669	human-ec109	9606
EBI-1186340	human-yt	9606
EBI-1186925	hpv18	333761
EBI-1188536	human-sk_mel_37	9606
EBI-1188582	human-u266	9606
EBI-1189496	human-siha	9606
EBI-1189933	human-bgc823	9606
EBI-1191522	camjj	354242
EBI-1193337	camlr	306263
EBI-1201491	human-bj	9606
EBI-1199828	human-mda_mb_231	9606
EBI-1190367	camje	192222
EBI-1200574	human-a_549	9606
EBI-684997	human-km12c	9606
EBI-687375	clotm	1515
EBI-689280	rat-fao	10116
EBI-689352	mouse-dt	10090
EBI-696698	human-aorta	9606
EBI-697859	human-t98g	9606
EBI-701677	porpu	2787
EBI-701859	human-hn5	9606
EBI-703564	rat-spinal-cord	10116
EBI-704335	human-m1	9606
EBI-704338	human-mnt-1	9606
EBI-704722	rat-heart	10116
EBI-706321	hcvj6	11113
EBI-706377	hcvh	11108
EBI-302123	pladu	6359
EBI-706913	human-ws	9606
EBI-709417	mouse-liver	10090
EBI-709477	pig-gastric mucosa	9823
EBI-710827	human-huh7	9606
EBI-710846	human-va13_2ra	9606
EBI-710917	hcvco	333284
EBI-727503	human-colon	9606
EBI-727882	human-hct116	9606
EBI-738870	human-karpas_299	9606
EBI-761201	maize	4577
EBI-761884	mouse-embryonic_fibroblast	10090
EBI-848026	bovin-brain	9913
EBI-762110	human-salivary_gland	9606
EBI-762443	cossp	49577
EBI-763562	metth	187420
EBI-764141	mettw	79930
EBI-764744	human-p12	9606
EBI-765392	human-sudhl-4	9606
EBI-766048	trini	7111
EBI-766121	lacla	272623
EBI-768363	human-b-cell lymphoma	9606
EBI-768655	human-l-540	9606
EBI-769358	radsp	64574
EBI-777221	mouse-m1-1	10090
EBI-777345	mouse-bmm	10090
EBI-777826	pyrho	70601
EBI-779565	human-308	9606
EBI-779686	chlae-cos_6	9534
EBI-779990	hv1n5	11698
EBI-780155	hv2ro	11720
EBI-780207	rat-rin_m	10116
EBI-780407	sivm1	11733
EBI-781117	bpms2	329852
EBI-781509	plaf7	36329
EBI-781590	rabit-rk13	9986
EBI-307609	crigr-cho	10029
EBI-307614	human-hela	9606
EBI-307619	mouse-brain	10090
EBI-307623	human-mcf7	9606
EBI-307628	human-293	9606
EBI-307632	human-u937	9606
EBI-307636	mouse-heart	10090
EBI-307641	chlae-cos_1	9534
EBI-307654	human-aml_193	9606
EBI-307659	human-k_562	9606
EBI-307664	mouse-3t3	10090
EBI-307669	chlae-cos_7	9534
EBI-307673	cotja-qt_6	93934
EBI-8873042	sheon	211586
EBI-307747	human-a_431	9606
EBI-307753	human-neutrophils	9606
EBI-307760	drome-schneider_2	7227
EBI-307784	mouse-l cells	10090
EBI-307789	human-ccrf_cem	9606
EBI-307793	human-lymphoblast	9606
EBI-307798	mouse-skeletal-muscle	10090
EBI-307825	human-cs	9606
EBI-307865	human-sh_sy5y	9606
EBI-307873	spofr-sf_21	7108
EBI-307890	human-h4	9606
EBI-307903	human-brain-cortex	9606
EBI-307913	human-hippocampus	9606
EBI-308002	human-293t	9606
EBI-308154	human-nt2	9606
EBI-308168	human-sk-n-mc	9606
EBI-308172	rat-pc12	10116
EBI-315490	caebr	6238
EBI-346285	nicpl	4092
EBI-346411	spofr-sf_9	7108
EBI-347104	canlf-mdck	9615
EBI-347328	mouse-nih_3t3	10090
EBI-347333	mouse-ctll_2	10090
EBI-347336	human-endothelium	9606
EBI-347339	human-epithelium	9606
EBI-347343	human-daudi	9606
EBI-347346	mouse-b-cell	10090
EBI-347349	mouse-b-cell lymphoma	10090
EBI-348950	human-periph_blood_leukoc	9606
EBI-348955	rabit-reticulocyte	9986
EBI-348957	rat-hippocampus	10116
EBI-349811	horse	9796
EBI-349815	ecobb	511693
EBI-349885	mesau-bhk21	10036
EBI-350017	ictbu	7973
EBI-9023237	anacystis nidulans	269084
EBI-350168	chemical synthesis	-2
EBI-350778	macmu	9544
EBI-9031652	serratia sp. atcc 39006	104623
EBI-351338	ansan	8844
EBI-9073169	human-bel-7402	9606
EBI-352317	9hiv1	11676
EBI-352366	felca	9685
EBI-353970	sheep	9940
EBI-9075635	human-bt_549	9606
EBI-354777	drome-ovary	7227
EBI-354780	drome-salivary_gland	7227
EBI-355347	pantr	9598
EBI-355359	panpa	9597
EBI-360031	orysj	39947
EBI-366974	human-molt-4	9606
EBI-367189	mouse-3t3_l1	10090
EBI-368113	human-forebrain	9606
EBI-368124	mouse-thymus	10090
EBI-368218	human-brain	9606
EBI-368316	torca	7787
EBI-368469	mouse-a14	10090
EBI-368498	rat-rat-1	10116
EBI-368531	mouse-her14	10090
EBI-9077423	human-ccd-1070sk	9606
EBI-368631	salti	90370
EBI-369471	shidy	622
EBI-9084323	ecoli-ari814	562
EBI-9086547	pneca	4754
EBI-374800	human-jurkat	9606
EBI-9087431	human-focus hcc	9606
EBI-9097042	human-jy25	9606
EBI-395726	bp933	10730
EBI-396791	human-t24	9606
EBI-9102720	human-milk	9606
EBI-9104581	metmp	267377
EBI-9118312	pseu8	69011
EBI-397499	oryla	8090
EBI-9118314	metea	272630
EBI-398605	rat-liver	10116
EBI-399059	hcmva	10360
EBI-399612	human-h1299	9606
EBI-399662	hhv2h	10315
EBI-399671	hhv23	10313
EBI-9118319	acibs	509170
EBI-431942	bacan	1392
EBI-445751	avis4	11873
EBI-445882	bacpu	1408
EBI-446054	strch	1902
EBI-446280	mouse-foetal fibroblast	10090
EBI-446337	human-sw13	9606
EBI-447458	human-hep_3b	9606
EBI-447464	human-hep_g2	9606
EBI-456281	xylfa	2371
EBI-457775	arath-leaf	3702
EBI-458364	chlae-cv-1	9534
EBI-458508	rhopa	258594
EBI-465732	den2n	11065
EBI-476062	human-t47d	9606
EBI-476398	human-mcf10a	9606
EBI-477225	human-ecv304	9606
EBI-477674	mouse-astrocyte	10090
EBI-477722	chlae-vero	9534
EBI-489306	human-skeletal-muscle	9606
EBI-489335	human-cls	9606
EBI-489671	mouse-j774a-1	10090
EBI-490301	mouse-el4	10090
EBI-8830488	mouse-s194	10090
EBI-8838218	baker's yeast-mav203	4932
EBI-8852438	human-hgc_27	9606
EBI-9023385	echml	93050
EBI-491680	xenla-oocyte	8355
EBI-492009	mouse-neuron	10090
EBI-492420	human-u2-os	9606
EBI-492793	mouse-l-929	10090
EBI-492979	rat-brain	10116
EBI-493876	mouse-p388d1	10090
EBI-494186	mouse-erythroleukemia	10090
EBI-495090	human-t-cell	9606
EBI-495084	human-hcc-1937	9606
EBI-495093	human-gm02184	9606
EBI-495172	human-gm05849	9606
EBI-9005140	human-hcc-1500	9606
EBI-495209	human-gm07166va7	9606
EBI-495425	human-bjab	9606
EBI-495698	mesau-av12-644	10036
EBI-514357	human-liver	9606
EBI-530112	drome-embryo	7227
EBI-514477	human-ht1080	9606
EBI-514782	human-erythrocyte	9606
EBI-515184	ade05	28285
EBI-515274	human-platelet	9606
EBI-515426	human-hel	9606
EBI-517465	hhv6u	10370
EBI-518320	human-mt2	9606
EBI-518433	rat-htc	10116
EBI-518858	human-bl60	9606
EBI-519488	human-184a1l5	9606
EBI-519493	crisp-kidney	36483
EBI-9023301	sphingomonas sp. chy-1	279135
EBI-521916	mouse-min6	10090
EBI-9023412	dabsi	343250
EBI-525287	arahy	3818
EBI-526026	mouse-fdcp-1	10090
EBI-526448	horvu-leaf	4513
EBI-526471	horvu	4513
EBI-526500	syny3	1111708
EBI-526539	sollc	4081
EBI-9023549	strain cs24)	79257
EBI-526737	wheat	4565
EBI-9023592	grimo	42003
EBI-526813	myctx	1773
EBI-526887	vibch	243277
EBI-9023734	metca	243233
EBI-9023735	methylococcus capsulatus	414
EBI-527815	helpy	85962
EBI-528835	strgf	118974
EBI-529097	drome-head	7227
EBI-530707	dicdi	44689
EBI-530926	braol	3712
EBI-531214	haein	71421
EBI-531528	chlre	3055
EBI-531578	tobac-leaf	4097
EBI-531635	pethy	4102
EBI-9023764	methylosinus trichosporium	426
EBI-531702	pethy-leaf	4101
EBI-531852	trepa	243276
EBI-9023901	rhodobacter sulfidophilus	35806
EBI-532612	ephfo	157595
EBI-535632	thet8	300852
EBI-537448	spiol	3562
EBI-537843	pea	3888
EBI-537858	soltu	4113
EBI-537869	soltu-leaf	4113
EBI-9024497	stano	921
EBI-539768	mouse-n1e-115	10090
EBI-539881	human-plasma	9606
EBI-9024642	eco44	216592
EBI-9024678	ecol5	362663
EBI-9024889	andaman cobra	195058
EBI-541265	tobac	4097
